mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
12025;2;20240100020513;2;2;3;10;3;1;1;6;678.77514107;233.72180483
12025;2;20240100020517;2;2;3;10;5;3;3;6;640.19908805;103.77751173
12025;2;20240100020518;2;2;3;10;5;1;1;6;916.0114106;351.50640749
12025;2;20240100020520;2;2;9;10;7;3;3;6;801.99989775;356.77454286
12025;2;20240100020521;2;2;9;10;28;1;1;6;3602.6273768;259.06153936
12025;2;20240100020522;2;2;9;10;1;3;3;6;344.81318767;172.77266096
12025;2;20240100020555;8;1;7;7;1;1;1;6;216.79159517;5487.8986416
12025;2;20240100020662;2;1;7;13;2;1;2;6;390.72307101;2110.4154064
12025;2;20240100020689;8;1;8;10;14;2;1;6;1272.1628907;256.44873042
12025;2;20240100020705;8;1;1;10;14;2;1;6;1435.5488895;1534.5618973
12025;2;20240100020722;2;1;7;1;1;3;3;6;217.5185975;806.28135673
12025;2;20240100020740;8;1;7;10;1;1;3;6;177.43352072;1334.8632139
12025;2;20240100020753;2;1;1;1;1;2;1;6;499.81978937;2084.5134932
12025;2;20240100020892;2;2;15;9;3;1;1;6;2481.1772651;1560.5239652
12025;2;20240100021628;2;2;14;9;5;1;2;6;2398.190697;97.946185643
12025;2;20240100021833;2;2;14;7;13;3;3;6;2031.9651948;41.452351238
12025;2;20240100021839;2;2;15;9;5;1;1;6;3168.3720817;209.25751042
12025;2;20240100022365;2;2;3;4;21;3;3;6;1371.1266574;44.339518579
12025;2;20240100022366;2;2;3;4;7;3;3;6;748.04272352;22.169759289
12025;2;20240100022371;2;2;3;4;1;3;3;6;335.50075261;22.169759289
12025;2;20240100022372;2;2;3;4;2;1;3;6;576.00327397;23.796053826
12025;2;20240100022373;2;2;3;4;15;3;3;6;603.13896744;22.169759289
12025;2;20240100024906;8;1;1;1;30;3;3;6;1789.3889336;254.77654078
12025;2;20240100024911;8;1;1;8;15;2;1;6;2228.4472173;1000.4583755
12025;2;20240100024918;2;1;7;7;7;1;2;6;864.34718677;488.67720612
12025;2;20240100024922;8;1;7;7;1;1;3;6;200.96162983;1477.7773183
12025;2;20240100024954;2;1;8;10;18;2;1;6;1536.1317474;135.23959391
12025;2;20240100024965;2;1;8;1;9;2;1;6;845.0848884;284.72333668
12025;2;20240100026130;2;3;4;1;30;1;1;6;5129.6813509;31.075413419
12025;2;20240100026131;2;3;4;10;49;2;1;6;4438.3785017;59.935027278
12025;2;20240100026132;2;3;4;1;26;3;3;6;3724.2373712;32.058299099
12025;2;20240100026133;2;3;4;1;35;2;1;6;5968.9538338;232.98711054
12025;2;20240100026134;2;3;4;1;55;3;3;6;6178.5055416;64.116598198
12025;2;20240100026135;2;3;4;1;60;3;1;6;7034.4838531;58.313822712
12025;2;20240100026136;2;3;4;1;90;3;1;6;9504.3793556;116.62764542
12025;2;20240100026137;8;3;7;7;1;1;1;6;375.5272093;55.490295993
12025;2;20240100026140;8;3;7;6;1;1;1;6;419.74073182;40.060575575
12025;2;20240100026142;2;3;4;10;91;3;1;6;5371.3083652;134.23376489
12025;2;20240100026143;2;3;4;1;49;3;3;6;5505.046326;32.058299099
12025;2;20240100026778;2;2;2;10;8;3;1;6;900.42077808;448.79744763
12025;2;20240100026780;2;2;2;10;150;2;2;6;12497.609087;846.37441833
12025;2;20240100026781;2;2;2;10;4;1;2;6;1080.8783267;320.44018366
12025;2;20240100026782;2;2;2;10;5;1;2;6;1264.7922305;311.84006627
12025;2;20240100026786;2;2;9;10;7;3;3;6;764.47147864;178.38727143
12025;2;20240100026787;2;2;9;10;5;3;3;6;780.49101154;178.38727143
12025;2;20240100026789;2;2;3;10;160;2;3;6;10415.504368;452.09390409
12025;2;20240100027204;2;2;15;1;15;1;3;6;5344.718689;78.971746418
12025;2;20240100027350;2;2;15;9;7;1;2;6;4077.7540057;69.911717931
12025;2;20240100027746;2;2;15;9;8;1;1;1;2070.8696887;806.09985209
12025;2;20240100027783;2;2;15;9;3;1;1;6;2481.1772651;1560.5239652
12025;2;20240100027786;2;2;15;9;5;1;1;6;2609.5394388;1643.0225424
12025;2;20240100027908;2;2;15;9;5;1;1;6;1794.7519753;1561.9843037
12025;2;20240100029100;8;1;7;7;1;3;3;6;110.49510795;1171.6960727
12025;2;20240100029239;2;1;7;12;5;3;3;6;216.92065936;5419.9587719
12025;2;20240100029954;2;2;15;9;1;1;2;6;2058.6328294;1172.784255
12025;2;20240100029964;2;2;14;9;16;1;1;6;4216.9723544;62.689523625
12025;2;20240100030060;2;2;14;9;3;1;2;6;1828.3678559;183.99514431
12025;2;20240100030407;8;1;7;9;1;1;1;6;173.25332773;3279.5660458
12025;2;20240100030432;2;2;15;9;4;1;1;6;2624.5673274;729.34100576
12025;2;20240100030523;2;2;12;9;1;1;2;6;879.22046293;972.3536379
12025;2;20240100031185;2;1;8;10;43;2;1;6;2791.6897297;153.83472434
12025;2;20240200008629;2;2;12;9;12;3;1;6;1310.7815965;902.05024785
12025;2;20240200012026;2;1;8;14;3;3;3;6;193.46819431;105.7175115
12025;2;20240200018167;2;1;8;10;28;2;1;6;2042.8253396;162.9880578
12025;2;20240200018175;2;1;8;16;30;2;1;6;3466.9500988;217.00567414
12025;2;20240200020563;2;2;13;10;7;1;1;6;2413.0137275;91.433182531
12025;2;20240200021731;2;1;8;1;4;1;1;6;921.5893049;405.83875326
12025;2;20240200024943;2;2;12;10;5;3;3;6;918.09446684;15.77382265
12025;2;20240200024945;2;2;12;10;4;1;1;6;745.52864888;195.21734201
12025;2;20240200024946;2;2;12;10;4;1;3;6;745.52864888;181.90162036
12025;2;20240200024948;2;2;12;10;5;3;3;6;923.65745537;7.8869113248
12025;2;20240200024949;2;2;12;10;4;1;1;6;745.52864888;97.608671004
12025;2;20240200024950;2;2;12;10;4;1;3;6;723.03651092;38.97891865
12025;2;20240200024951;2;2;12;10;4;3;3;6;648.96226321;23.660733974
12025;2;20240200025038;2;2;12;10;7;1;1;6;702.31636016;22.469946279
12025;2;20240200026306;2;1;8;1;3;1;1;6;765.58873434;416.80885921
12025;2;20240200026385;2;1;8;1;14;3;1;6;1797.0488885;237.8090105
12025;2;20240200028944;2;2;14;16;10;1;2;6;4823.122957;166.79976914
12025;2;20240200030201;2;2;12;13;7;3;1;6;892.37220593;762.02043385
12025;2;20240200031863;2;2;14;9;3;2;1;6;1444.6435393;452.8906826
12025;2;20240300005264;2;2;12;13;6;3;1;6;1019.5866807;1524.0408677
12025;2;20240300006821;2;2;14;13;6;1;1;6;2501.5247299;95.647139476
12025;2;20240300016896;2;2;14;9;6;1;1;6;2262.5043801;170.44340396
12025;2;20240300017796;2;2;12;13;2;1;1;6;1391.7418101;720.26881637
12025;2;20240300022579;2;2;14;1;14;1;1;6;3439.4774834;137.20763329
12025;2;20240300022581;2;2;14;13;6;1;1;6;2501.5247299;143.47070921
12025;2;20240300022583;2;2;14;5;30;2;1;6;6994.7828334;8.8150471085
